phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_leave_one_scale,10f,drop_scale0_previous,partial,drop_scale0_previous,1,0.4109,"full_sweep_runner, 31.5 min"
phase1_two_scale,2f,scale0_scale3_previous,partial,scale0_scale3_previous,4,0.5043,"full_sweep_runner, 22.5 min"
phase1_leave_one_scale,1f,drop_scale1_previous,partial,drop_scale1_previous,2,0.2958,"full_sweep_runner, 10.4 min"
phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,1,0.1721,"full_sweep_runner, 19.1 min"
phase1_leave_one_scale,1f,drop_scale2_previous,partial,drop_scale2_previous,2,0.3249,"full_sweep_runner, 10.5 min"
phase1_leave_one_scale,1f,drop_scale3_previous,partial,drop_scale3_previous,2,0.2822,"full_sweep_runner, 10.6 min"
phase1_two_scale,2f,scale1_scale2_previous,partial,scale1_scale2_previous,4,0.6463,"full_sweep_runner, 22.7 min"
phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1,0.0916,"full_sweep_runner, 19.4 min"
phase1_leave_one_scale,10f,drop_scale1_previous,partial,drop_scale1_previous,1,0.1029,"full_sweep_runner, 31.1 min"
phase1_two_scale,1f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2,0.2204,"full_sweep_runner, 10.4 min"
phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,1,0.0203,"full_sweep_runner, 19.2 min"
phase1_two_scale,1f,scale0_scale2_previous,partial,scale0_scale2_previous,2,0.1729,"full_sweep_runner, 10.6 min"
phase1_two_scale,2f,scale1_scale3_previous,partial,scale1_scale3_previous,4,0.6329,"full_sweep_runner, 22.4 min"
phase1_two_scale,1f,scale0_scale3_previous,partial,scale0_scale3_previous,2,0.2210,"full_sweep_runner, 10.5 min"
phase1_leave_one_scale,10f,drop_scale2_previous,partial,drop_scale2_previous,1,0.1571,"full_sweep_runner, 31.3 min"
phase1_three_scale,5f,only_scale1_previous,partial,only_scale1_previous,1,0.0946,"full_sweep_runner, 19.1 min"
phase1_two_scale,1f,scale1_scale2_previous,partial,scale1_scale2_previous,2,0.2747,"full_sweep_runner, 10.5 min"
phase1_two_scale,2f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4,0.5692,"full_sweep_runner, 22.4 min"
phase1_two_scale,1f,scale1_scale3_previous,partial,scale1_scale3_previous,2,0.3130,"full_sweep_runner, 10.9 min"
phase1_three_scale,5f,only_scale2_previous,partial,only_scale2_previous,1,0.0279,"full_sweep_runner, 19.5 min"
phase1_leave_one_scale,10f,drop_scale3_previous,partial,drop_scale3_previous,1,0.1652,"full_sweep_runner, 31.5 min"
phase1_two_scale,1f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2,0.2883,"full_sweep_runner, 10.7 min"
phase1_three_scale,2f,only_scale0_previous,partial,only_high_resolution_previous,4,0.4403,"full_sweep_runner, 22.7 min"
phase1_three_scale,1f,only_scale0_previous,partial,only_high_resolution_previous,2,0.1030,"full_sweep_runner, 10.7 min"
phase1_three_scale,5f,only_scale3_previous,partial,only_low_resolution_previous,1,0.0589,"full_sweep_runner, 19.3 min"
phase1_three_scale,1f,only_scale1_previous,partial,only_scale1_previous,2,0.2194,"full_sweep_runner, 10.5 min"
phase1_three_scale,2f,only_scale1_previous,partial,only_scale1_previous,4,0.5594,"full_sweep_runner, 22.5 min"
phase1_two_scale,10f,scale0_scale1_previous,partial,fine_previous_coarse_zero,1,0.0956,"full_sweep_runner, 31.2 min"
phase1_three_scale,1f,only_scale2_previous,partial,only_scale2_previous,2,0.1715,"full_sweep_runner, 10.6 min"
